Topics,Sub-Topics,Query
Benefits,Internal application,do employees rate changes if they apply internally within kaiser?
Recruiting & Hiring,Internal application,internal application
Payroll,Salary differential,salary differential for internal application
Training & Development,Senior Advantage card,where to get the Senior advantage card?
Pay Differential,Nurse bonus,How to request bonus for nurse license renewal
Leave of Absence,Birthday holiday,birthday holiday usage during medical leave of absence
Pay Differential,Washington Paid Family Leave,how many hours to be eligible for washington paid family leave
Leave of Absence,Birthday holiday,can birthday holiday be used during leave of absence
FMLA,Washington Paid Family Leave,what is the eligibility for washington paid family leave?
Forms,Form 1099,1099 form B
Recruiting & Hiring,Internal applicant,internal applicant
Payroll,Tax implications,why does employee not being taxed
Leave of Absence,Maryland Flexible Leave Act,Maryland Flexible Leave Act
Leave of Absence,Maryland Flexible Leave Act,What is Maryland Flexible Leave Act
Pay Differential,Standby pay,Standby pay discrepancies
Leave of Absence,Vacation leave,vacation leave
Employee Verification & Records,Legal name change,Legal name change timeframe
Leave of Absence,Bonding leave,bonding leave for MAS employees
Forms,EDD (Employment Development Department) forms,Help me with edd
Leave of Absence,Bonding leave,bonding leave eligibity for MAS employees
HCSA,Dental coverage,Can I extend dental coverage for diabled dependent?
Insurance & Benefits,NCAL (Northern California),NCAL Cobra
Forms,Form 3341,re-route approval for 3341 form
Forms,Form 3341,reroute approval for 3341 form
Payroll,Pay inquiry,pay inquiry
Employee Relations,Job description,job description as inpatient psychiatrics
Employee Relations,Workplace complaints,how do i submit a complaint in the work place
Leave of Absence,Leave cancellation,cancel leave for KPWA employee
Leave of Absence,Leave cancellation,how to cancel the leave of adsence for KPWA employee
Pay Differential,NCAL (Northern California),NCAL benefits billing pay in increments
Pay Differential,Replacement differential,replacement differential
Forms,Form 3341,what is the SLA of the 3341 form
Payroll,Non-exempt employees,non excempt
Leave of Absence,Education leave,how can an employee file for education leave?
Insurance & Benefits,Georgia benefits,Georgia payment benefits through mail
Overpayment Repayment,Overpayment,Over payment
Insurance & Benefits,Georgia benefits,Georgia payment benefits throufh mail
Overpayment Repayment,Overpayment,over payment
Payroll,Voluntary deductions,what is voluntary deductions consist of?
Payroll,ACP (likely acronym for specific pay component),acp effective date
Job Classification & Records,Functional leader,what is the role of a functional leader
HR Policies,Functional leader,where can i locate the description for a functional leader in HR Connect
PTO/Vacation Accruals,Last day worked,where to see when was the last time of work of the caller
HCSA,Earmark bank (likely HCSA funds),can earmark bank can be use for loa?
Pay Differential,Pediatric differential,pediatric differential
Invalid,Payroll codes,what is the meaning of DailyOT1.5 Prm at 0.5 Retro
Credentialing & Certification,Epic certification,Do we have information about Epic Healthcare certification training?
Training & Development,Career advancement,do we have a career advancement programs?
Training & Development,Certification sponsorship,Does kaiser sponsor certification for employees who wanted to advance their career?
Employee Separation,Retired employee,retired employee NUID
Leave of Absence,CESLA (California Earned Sick Leave Act or similar),designate relative CESLA
HR Policies,EDM (Electronic Document Management or similar),Help me with edm email
Recruiting & Hiring,Internal job portal,internal job portal
Recruiting & Hiring,Talent acquisition,talent acquisition team
HR Policies,EDM (Electronic Document Management or similar),what is edm?
Leave of Absence,Sick leave,sick leave
Insurance & Benefits,Surgery coverage,Help me with surgery
Insurance & Benefits,Financial hardship,FINANCIAL HARDSHIP
Employee Separation,Garnishment,garnishment letter
IT Support,EDM (Electronic Document Management or similar),Help me with EDM email
Leave of Absence,Personal leave,personal leace
FMLA,EIB (Enhanced Illness Benefit or similar),eib as source of pay for washington employees during maternity leave
Credentialing & Certification,NPI (National Provider Identifier),Help me with NPI
HR Policies,Outside employment,Is there a policy for employee having another job outside kaiser?
Credentialing & Certification,NPI (National Provider Identifier),national provider identification
Credentialing & Certification,NPI (National Provider Identifier),natioanl provider identification
IT Support,Manual integration,What is Full Manual Integration
Jury Duty – Process & Pay,Jury duty,Help me with jury duty
Forms,Form 1422,Help me with 1422
Payroll,Salary continuance,salary contenuance
Employee Separation,Termination process,Help me with termoination
Employee Verification & Records,Mail procedures,how to send letter thru mail
Recruiting & Hiring,Employee referral,Help me with referral
Recruiting & Hiring,Employee referral,Help me with refferral
Job Classification & Progression,Probationary period,Help me with probationary
Job Classification & Progression,Legal employer transfer,legal employer transfer has Probationary
Job Classification & Progression,Legal employer transfer,legal employer transfer has probitinary
Job Classification & Progression,Transfer eligibility,employee suspended is it  eligible to transfer to a different locatiojn?
Job Classification & Progression,Transfer eligibility,is the employee will be eligible to transfer to a different location even if the employee incurred 1 day suspension?
Leave of Absence,HFL (likely an acronym for a specific leave type,HFL eligibility
Leave of Absence,Education leave policy,what is the education leave policy for employee currently on LOA
Leave of Absence,Education leave,can employee request to use education leave hours while on a medical leave
Payroll,Direct deposit,direct deposit
Payroll,Non-exempt employees,Help me with Nonexempt
Job Classification & Progression,Transfer eligibility,TRANSFER STATUS ELEGIBILITY
Leave of Absence,Disability consultant,disability consutant in san diego california
Legal & Compliance Issue,Release of information,release of information office
Leave of Absence,Active to leave status,active to leave of absence status
Leave of Absence,Active to leave status,ctive to leave of absence status
Leave of Absence,Active to leave status,active to leave of abswence status
Leave of Absence,Reproductive loss,reproductive loss
HCSA,Spending account,spending account
Performance Reviews,Performance evaluation,how do i complete 2024 performance evaluation for represented employee
Retirement & Savings Plan,Vanguard,vanguard address
Timekeeping & Attendance,Intermittent absence,how to code an employee for an intermittent absence?
Job Classification & Progression,Delegated manager,how to be a delegated manager
Payroll,Direct deposit,direct deposit
Legal & Compliance Issue,ROI (Release of Information),what does ROI means?
HR Policies,ARX ,what  does ARX stands for?
Need Phone Number,Release of information,release of information contact number
Reimbursement,Medical expense reimbursement,medical expense reimbursement Colorado
Insurance & Benefits,SDI (State Disability Insurance) extension,extension of SDI
Worker's Compensation,Vacation accrual,can employees still accrue vacation and sick while on workers compensation?
Timekeeping & Attendance,Early clock-in,clocking in early
HR Policies,Citizenship application,how to apply citizenship?
Union & Labor Relations,Union membership,CAN NON UNION EMPLOYEES JOINED A UNION?
Insurance & Benefits,State Disability Insurance (SDI),State disability insurance is taxable?
Insurance & Benefits,SDI (State Disability Insurance),is SDI taxable?
HR Policies,Unionization,HR POLICY ABOUT JOINING A UNION
Insurance & Benefits,MetLife,what is metlife
Insurance & Benefits,MetLife,who is metlife
Leave of Absence,Maryland Flexible Leave Act,What is Maryland Flexible Leave Act
Modified Duty & Pay Integration,Modified duty,modify duty
Leave of Absence,Maryland Flexible Leave Act,Maryland Flexible Leave Act
Leave of Absence,Maryland Flexible Leave Act,do we need to do anything for initiating a Maryland Flexible Leave Act
Leave of Absence,Maryland Flexible Leave Act,is there a form that needs to submit to do Maryland Flexible Leave Act
Timekeeping & Attendance,Absence management,Work absence management contact
Forms,Form 1500,processing time 1500
Credentialing & Certification,Certification payment,certification payment
Payroll,Pay Calendar,NCAL PAY CALENDAR\
Payroll,Final check,FINAL CHECK CALENDAR NCAL
Leave of Absence,Benefits termination,Benefits termination due to Personal Leave
Leave of Absence,Benefits termination,Bnefits termination due to Personal Leave
Insurance & Benefits,Benefits termination,bemnefits termination
Employee Verification & Records,Personal data,personal data
Worker's Compensation,Workers' compensation,workers comp
Forms,EDD (Employment Development Department) forms,Help me with EDD 2501B
Invalid,Third-party access,for third parties
Payroll,FIT withholding,Increased Federal Income Tax (FIT) withholding
Insurance & Benefits,Benefits billing,benefits billing refund
PTO/Vacation Accruals,EID (Employee ID),unauthorized use of EID and PTO for washington employees
Leave of Absence,Industrial leave,how long the benefit will be protected while on the industrisl leave
Leave of Absence,Industrial leave benefits,benefit while on the industrial leave
Leave of Absence,Industrial leave,industrial leave benefit
Leave of Absence,Benefit disenrollment,benefit disenrollment while on leave
FMLA,FMLA hours,can a manager check a fmla working hours of the employee?
Manager Tools,UAR (User Access Review),Help me with uar
Employee Verification & Records,One Card,what que handles the one card of an employee from program office
Insurance & Benefits,Cost sharing,cost share
Legal & Compliance Issue,Civil rights,CIVIL RIGHTS COMPLAINT
Overpayment Repayment,Employee overpaid,employee overpaid
Overpayment Repayment,Overpayment initiation,how to initiate an overpayment?
Employee Relations,Oregon complaints,COMPLAINT OREGON
Leave of Absence,Bereavement leave,bereavement leave
Insurance & Benefits,MetLife,What is MetLife
Insurance & Benefits,MetLife,What is Met LIfe
Insurance & Benefits,MetLife,What is metlife
FMLA,FMLA hours,FMLA hours
Insurance & Benefits,MetLife transfer,transfer to metlife
Payroll,Time system,how do i correct my direct report location in TIME system
Job Classification & Progression,ACP (Administrative,acp employee
Recruiting & Hiring,Applicant types,internal/ external applicant
Worker's Compensation,Workers' compensation,workers comp SLA
Employee Verification & Records,Personal details,personnal details
Leave of Absence,Bonding leave,how to apply bonding leave for non-benefitted account
Insurance & Benefits,Health & Welfare,what does H&W mean?
KPIM Support,KPIM system,Help me with kpim
KPIM Support,KPIM system,Help me with KPIM
Invalid,Invalid code,7 digit code
Pay Differential,Weekend pay,Weekend Pay
Forms,Form processing,Processing 1480
Insurance & Benefits,Cost sharing,cost share
Insurance & Benefits,Cost sharing,cost share
Recruiting & Hiring,Union job posting,different union job posting
Recruiting & Hiring,Job posting,job posting
Leave of Absence,Physician contact,physician  contact
Leave of Absence,Maryland Flexible Leave Act,How to initiate MFLA
Leave of Absence,Personal leave,personal leave
Leave of Absence,Maryland Flexible Leave Act,How to process Maryland Flexible Leave Act
Leave of Absence,Colorado leave,CO filing leave of absence
Employee Verification & Records,Personal information,Help me with personal
Leave of Absence,Intermittent leave extension,what form to submit to extend intermittent leave
Forms,Form access,How to access the 2520 form?
Approvals & Process Requests,Requisition approval,requisition approval
Leave of Absence,Paid bonding leave,2 weeks of paid bonding leave
FMLA,Reproductive leave,reproductive leave
FMLA,Reproductive loss leave,reproductive loss
Insurance & Benefits,CFRA,"if the employee is still covered by CFRA but no PTO, does it affect their benefits?"
Employee Relations,Harassment,Help me with harassment
